Year,Count
1845-1849,1
1850-1854,6
1855-1859,28
1860-1864,91
1865-1869,477
1870-1874,1448
1875-1879,3981
1880-1884,5795
1885-1889,6835
1890-1894,5331
1895-1899,6456
1900-1904,6194
1905-1909,4285
1910-1914,6516
1915-1919,11564
1920-1924,17242
1925-1929,12516
1930-1934,8242
1935-1939,7285
1940-1944,5084
